Attribute:,Text,Label
Capital ,You fucking bitch,Toxic
Noncapital,you fucking bitch,Toxic
Capital ,You fucking slut,Toxic
Noncapital,you fucking slut,Toxic
Capital ,You fucking cunt,Toxic
Noncapital,you fucking cunt,Toxic
Capital ,You fucking whore,Toxic
Noncapital,you fucking whore,Toxic
Capital ,I'll rape you,Toxic
Noncapital,i'll rape you,Toxic
Capital ,You're beautiful,Non-toxic
Noncapital,you're beautiful,Non-toxic
Capital,You're so pretty,Non-toxic
Noncapital,you're so pretty,Non-toxic
Capital,You have a beautiful smile,Non-toxic
Noncapital,You have a beautiful smile,Non-toxic
Capital,You're gorgeous,Non-toxic
Noncapital,you're gorgeous,Non-toxic
Capital,I love you,Non-toxic
Noncapital,i love you,Non-toxic
Captial,Thank you for understanding I think very highly of you and would not revert without discussion,Non-toxic
Captial,Dear god this site is horrible,Non-toxic
Captial,Somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly   For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories,Non-toxic
Captial,Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism,Non-toxic
Captial,Professors to the Manhatten Project,Non-toxic
Captial,Im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,Non-toxic
Captial,Ive noticed your work before and I respect your skills Thanks,Non-toxic
Captial,Draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,Non-toxic
Capital,No he is an arrogant self serving immature idiot Get it right,Toxic
Capital,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,Toxic
Noncapital,dear god this site is horrible,Non-toxic
Noncapital,somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly   For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories,Non-toxic
Noncapital,Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism,Non-toxic
Noncapital,professors to the Manhatten Project,Non-toxic
Noncapital,im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,Non-toxic
Noncapital,Ive noticed your work before and I respect your skills Thanks,Non-toxic
Noncapital,draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,Non-toxic
Noncapital,to cut a Bitch,Toxic
