Attribute:,Text,Label
Capital ,You fucking bitch,Toxic
Noncapital,you fucking bitch,Toxic
Capital ,You fucking slut,Toxic
Noncapital,you fucking slut,Toxic
Capital ,You fucking cunt,Toxic
Noncapital,you fucking cunt,Toxic
Capital ,You fucking whore,Toxic
Noncapital,you fucking whore,Toxic
Capital ,I'll rape you,Toxic
Noncapital,i'll rape you,Toxic
Capital ,You're beautiful,Non-toxic
Noncapital,you're beautiful,Non-toxic
Capital,You're so pretty,Non-toxic
Noncapital,you're so pretty,Non-toxic
Capital,You have a beautiful smile,Non-toxic
Noncapital,You have a beautiful smile,Non-toxic
Capital,You're gorgeous,Non-toxic
Noncapital,you're gorgeous,Non-toxic
Capital,I love you,Non-toxic
Noncapital,i love you,Non-toxic
Captial,Thank you for understanding I think very highly of you and would not revert without discussion,Non-toxic
Captial,Dear god this site is horrible,Non-toxic
Captial,Somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly   For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories,Non-toxic
Captial,Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism,Non-toxic
Captial,Professors to the Manhatten Project,Non-toxic
Captial,Im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,Non-toxic
Captial,Ive noticed your work before and I respect your skills Thanks,Non-toxic
Captial,Draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,Non-toxic
Capital,No he is an arrogant self serving immature idiot Get it right,Toxic
Capital,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,Toxic
Noncapital,dear god this site is horrible,Non-toxic
Noncapital,somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly   For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories,Non-toxic
Noncapital,Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism,Non-toxic
Noncapital,professors to the Manhatten Project,Non-toxic
Noncapital,im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,Non-toxic
Noncapital,Ive noticed your work before and I respect your skills Thanks,Non-toxic
Noncapital,draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,Non-toxic
Noncapital,to cut a Bitch,Toxic
Capital,But this is not the article about government position but about the reaction Add positions to 2008 Kosovo declaration of independence or Foreign relations of Kosovo,Non-toxic
Capital,It is not my opinion that I am trying to impose here although it may appear to be so I am just highlighting the fact that it remains controversial whether it is or isnt a Ponzi Scheme even if a legal one so you cannot state as a fact that it is not a Ponzi Scheme I saw the reference and the perpetrator itself cannot be treated as a reliable source In fact claiming it is not a Ponzi Scheme seems to be an opinion in itself,Non-toxic
Noncapital,plenty of Greeks love the King Stop acting like all Greeks hate him You just parrot what the government tells us via their media We Greeks asked George I to be our King We supported them They reclaimed much of our lands We voted to keep them numerous times In the 1930s by 97 vote,Non-toxic
Capital,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,Non-toxic
Noncapital,"if u are a male with no willey then u are likley to be gay lol,yes",Non-toxic
Noncapital,kevin bravo is a faggot,Toxic
Capital,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,Toxic
Noncapital,cause shes just a devil with evil on her mind and my penis in Materialscientists birth place,Non-toxic
Capital,You wikipedia nazis need to stop removing information just because YOU dont know if a piece of information is true doesnt mean its not true,Toxic
Capital,This is just bizarre Ani Medjools abuse of wikipedia rules gets rewarded and then he awards you a barnstar  WTF  Anyhow a new person adept at ridicule has joined in the conversation at falafel,Non-toxic
Capital,You guys are sick,Non-toxic
